second,Volt,Volt.1
-0.00449865,-3.015075438,-1.869346771
-0.00449365,-3.128140767,-1.92964828
-0.00448865,-3.135678455,-1.688442245
-0.00448365,-3.135678455,-1.92964828
-0.00447865,-3.256281473,-1.92964828
-0.00447365,-3.135678455,-1.809045263
-0.00446865,-3.256281473,-1.809045263
-0.00446365,-3.135678455,-1.688442245
-0.00445865,-3.195979964,-1.673366868
-0.00445365,-3.256281473,-1.801507574
-0.00444865,-3.309045293,-1.628140736
-0.00444365,-3.482412131,-1.688442245
-0.00443865,-3.37688449,-1.620603048
-0.00443365,-3.37688449,-1.688442245
-0.00442865,-3.37688449,-1.620603048
-0.00442365,-3.37688449,-1.560301539
-0.00441865,-3.37688449,-1.575376916
-0.00441365,-3.37688449,-1.560301539
-0.00440865,-3.437185999,-1.567839228
-0.00440365,-3.497487508,-1.567839228
-0.00439865,-3.557789017,-1.386934701
-0.00439365,-3.610552837,-1.44723621
-0.00438865,-3.618090525,-1.507537719
-0.00438365,-3.610552837,-1.44723621
-0.00437865,-3.618090525,-1.379397013
-0.00437365,-3.731155854,-1.326633193
-0.00436865,-3.670854345,-1.379397013
-0.00436365,-3.738693543,-1.326633193
-0.00435865,-3.738693543,-1.326633193
-0.00435365,-3.738693543,-1.326633193
-0.00434865,-3.798995052,-1.386934701
-0.00434365,-3.851758872,-1.206030175
-0.00433865,-3.866834249,-1.206030175
-0.00433365,-3.85929656,-1.319095504
-0.00432865,-3.979899578,-1.206030175
-0.00432365,-3.979899578,-1.206030175
-0.00431865,-4.032663398,-1.085427158
-0.00431365,-3.972361889,-1.085427158
-0.00430865,-4.040201087,-1.085427158
-0.00430365,-4.100502595,-1.206030175
-0.00429865,-4.100502595,-0.96482414
-0.00429365,-4.100502595,-1.085427158
-0.00428865,-4.160804104,-1.025125649
-0.00428365,-4.100502595,-0.96482414
-0.00427865,-4.160804104,-0.96482414
-0.00427365,-4.221105613,-0.96482414
-0.00426865,-4.34170863,-0.896984943
-0.00426365,-4.221105613,-0.844221123
-0.00425865,-4.402010139,-0.96482414
-0.00425365,-4.334170942,-0.723618105
-0.00424865,-4.326633253,-0.844221123
-0.00424365,-4.34170863,-0.723618105
-0.00423865,-4.39447245,-0.851758811
-0.00423365,-4.454773959,-0.723618105
-0.00422865,-4.462311648,-0.655778908
-0.00422365,-4.582914665,-0.716080416
-0.00421865,-4.462311648,-0.723618105
-0.00421365,-4.575376977,-0.716080416
-0.00420865,-4.522613157,-0.603015088
-0.00420365,-4.462311648,-0.603015088
-0.00419865,-4.582914665,-0.603015088
-0.00419365,-4.695979994,-0.48241207
-0.00418865,-4.635678486,-0.53517589
-0.00418365,-4.703517683,-0.369346741
-0.00417865,-4.763819192,-0.489949759
-0.00417365,-4.703517683,-0.58793971
-0.00416865,-4.763819192,-0.542713579
-0.00416365,-4.8241207,-0.361809053
-0.00415865,-4.944723718,-0.48241207
-0.00415365,-4.8241207,-0.361809053
-0.00414865,-4.756281503,-0.293969855
-0.00414365,-4.937186029,-0.467336693
-0.00413865,-4.876884521,-0.293969855
-0.00413365,-4.944723718,-0.241206035
-0.00412865,-4.997487538,-0.241206035
-0.00412365,-5.065326735,-0.120603018
-0.00411865,-5.065326735,-0.120603018
-0.00411365,-5.065326735,-0.120603018
-0.00410865,-5.065326735,-0.05276382
-0.00410365,-5.065326735,-0.120603018
-0.00409865,-5.118090556,-0.060301509
-0.00409365,-5.185929753,-0.113065329
-0.00408865,-5.185929753,0.060301509
-0.00408365,-5.291457393,0.0
-0.00407865,-5.246231262,0.060301509
-0.00407365,-5.178392064,0.0
-0.00406865,-5.118090556,0.05276382
-0.00406365,-5.178392064,0.233668346
-0.00405865,-5.065326735,0.128140706
-0.00405365,-5.065326735,0.241206035
-0.00404865,-5.065326735,0.180904526
-0.00404365,-5.050251358,0.241206035
-0.00403865,-4.944723718,0.173366838
-0.00403365,-4.944723718,0.241206035
-0.00402865,-4.944723718,0.293969855
-0.00402365,-4.703517683,0.474874381
-0.00401865,-4.8241207,0.361809053
-0.00401365,-4.8241207,0.241206035
