second,Volt
-0.04950365,0.65410803
-0.04945365,0.49089195
-0.04940365,0.35536432
-0.04935365,0.15571608
-0.04930365,0.06682161
-0.04925365,-0.04830402
-0.04920365,-0.2115201
-0.04915365,-0.29167085
-0.04910365,-0.34267588
-0.04905365,-0.28146985
-0.04900365,-0.29604271
-0.04895365,-0.32373115
-0.04890365,-0.29021356
-0.04885365,-0.21734924
-0.04880365,-0.02498744
-0.04875365,0.12657035
-0.04870365,0.21546482
-0.04865365,0.31893216
-0.04860365,0.50546482
-0.04855365,0.49526381
-0.04850365,0.54626884
-0.04845365,0.59873115
-0.04840365,0.7007412
-0.04835365,0.72405778
-0.04830365,0.71385678
-0.04825365,0.59435929
-0.04820365,0.57395728
-0.04815365,0.48069095
-0.04810365,0.35099246
-0.04805365,0.18777638
-0.04800365,0.18340452
-0.04795365,-0.00312814
-0.04790365,-0.07599246
-0.04785365,-0.14594221
-0.04780365,-0.12845477
-0.04775365,-0.22609296
-0.04770365,-0.23046482
-0.04765365,-0.2537814
-0.04760365,-0.20277638
-0.04755365,-0.15614321
-0.04750365,-0.02498744
-0.04745365,0.0566206
-0.04740365,0.07556533
-0.04735365,0.21546482
-0.04730365,0.29853015
-0.04725365,0.34224874
-0.04720365,0.42531407
-0.04715365,0.49526381
-0.04710365,0.43551507
-0.04705365,0.57978643
-0.04700365,0.5287814
-0.04695365,0.47194723
-0.04690365,0.43988693
-0.04685365,0.44425879
-0.04680365,0.33641959
-0.04675365,0.21109296
-0.04670365,0.13677136
-0.04665365,0.17903266
-0.04660365,0.03476131
-0.04655365,-0.0395603
-0.04650365,-0.06724874
-0.04645365,-0.12408291
-0.04640365,-0.17071608
-0.04635365,-0.14157035
-0.04630365,-0.09493718
-0.04625365,-0.01624372
-0.04620365,-0.05704774
-0.04615365,0.02893216
-0.04610365,0.06244975
-0.04605365,0.09888191
-0.04600365,0.18340452
-0.04595365,0.18340452
-0.04590365,0.30435929
-0.04585365,0.31310301
-0.04580365,0.41657035
-0.04575365,0.42094221
-0.04570365,0.42968593
-0.04565365,0.33787688
-0.04560365,0.40636934
-0.04555365,0.38305276
-0.04550365,0.30873115
-0.04545365,0.24461055
-0.04540365,0.21546482
-0.04535365,0.09596734
-0.04530365,0.10325377
-0.04525365,0.11199749
-0.04520365,0.07993719
-0.04515365,-0.04830402
-0.04510365,0.02018844
-0.04505365,-0.01187186
-0.04500365,0.00998744
-0.04495365,-0.05267588
-0.04490365,-0.03373116
-0.04485365,0.06682161
-0.04480365,0.02601759
-0.04475365,0.12657035
-0.04470365,0.20526382
-0.04465365,0.2285804
-0.04460365,0.1965201
-0.04455365,0.22566583
-0.04450365,0.33204774
-0.04445365,0.32330402
-0.04440365,0.28978643
-0.04435365,0.28104271
-0.04430365,0.35973618
-0.04425365,0.24461055
-0.04420365,0.24461055
-0.04415365,0.24898241
-0.04410365,0.18194723
-0.04405365,0.12219849
-0.04400365,0.07119347
-0.04395365,0.04787688
-0.04390365,0.02893216
-0.04385365,0.09013819
-0.04380365,0.04204774
-0.04375365,0.01873116
-0.04370365,0.00998744
-0.04365365,0.0245603
-0.04360365,-0.04393216
-0.04355365,0.01581658
-0.04350365,0.10325377
-0.04345365,0.06682161
-0.04340365,0.17903266
-0.04335365,0.22566583
-0.04330365,0.13677136
-0.04325365,0.2285804
-0.04320365,0.16883166
-0.04315365,0.25189698
-0.04310365,0.16883166
-0.04305365,0.22129397
-0.04300365,0.28978643
-0.04295365,0.22129397
-0.04290365,0.27667085
-0.04285365,0.22566583
-0.04280365,0.14551507
-0.04275365,0.12802764
-0.04270365,0.09888191
-0.04265365,0.06682161
-0.04260365,0.12657035
-0.04255365,0.04350502
-0.04250365,0.09451005
-0.04245365,-0.01187186
-0.04240365,0.04350502
-0.04235365,-0.02498744
-0.04230365,0.02893216
-0.04225365,0.10325377
-0.04220365,0.14551507
-0.04215365,0.05224874
-0.04210365,0.09451005
-0.04205365,0.08576633
-0.04200365,0.14551507
-0.04195365,0.18777638
-0.04190365,0.14551507
-0.04185365,0.15134422
-0.04180365,0.2285804
-0.04175365,0.21983668
-0.04170365,0.15571608
-0.04165365,0.18777638
-0.04160365,0.20234924
-0.04155365,0.19214824
-0.04150365,0.14988693
-0.04145365,0.12657035
-0.04140365,0.09013819
-0.04135365,0.13531407
-0.04130365,0.13531407
-0.04125365,0.12657035
-0.04120365,0.09013819
-0.04115365,0.07556533
-0.04110365,-0.02498744
-0.04105365,0.08576633
-0.04100365,0.07119347
-0.04095365,0.05807789
-0.04090365,0.0886809
-0.04085365,0.09888191
-0.04080365,0.05224874
-0.04075365,0.06682161
-0.04070365,0.14988693
-0.04065365,0.0566206
-0.04060365,0.14114321
-0.04055365,0.15571608
-0.04050365,0.11345477
-0.04045365,0.10908291
-0.04040365,0.14988693
-0.04035365,0.19214824
-0.04030365,0.11782663
-0.04025365,0.19214824
-0.04020365,0.06682161
-0.04015365,0.12219849
-0.04010365,0.08576633
-0.04005365,0.11782663
-0.04000365,0.08139447
-0.03995365,0.07119347
-0.03990365,0.11782663
-0.03985365,0.05224874
-0.03980365,0.09013819
-0.03975365,0.01581658
-0.03970365,0.07119347
-0.03965365,0.08576633
-0.03960365,0.02893216
-0.03955365,0.04787688
-0.03950365,0.02893216
-0.03945365,0.09888191
-0.03940365,0.03913317
-0.03935365,0.12657035
-0.03930365,0.15425879
-0.03925365,0.13531407
-0.03920365,0.17320352
-0.03915365,0.16883166
-0.03910365,0.14114321
-0.03905365,0.18777638
-0.03900365,0.10325377
-0.03895365,0.14988693
-0.03890365,0.17903266
-0.03885365,0.06682161
-0.03880365,0.09451005
-0.03875365,0.15571608
-0.03870365,0.10762563
-0.03865365,0.10762563
-0.03860365,0.11345477
-0.03855365,0.0886809
-0.03850365,0.07556533
-0.03845365,0.07119347
-0.03840365,0.09451005
-0.03835365,0.04350502
-0.03830365,0.03913317
-0.03825365,0.04350502
-0.03820365,0.06682161
-0.03815365,0.06244975
-0.03810365,0.06536432
-0.03805365,0.10325377
-0.03800365,0.10908291
-0.03795365,0.03913317
-0.03790365,0.08576633
-0.03785365,0.08576633
-0.03780365,0.14988693
-0.03775365,0.17757538
-0.03770365,0.08576633
-0.03765365,0.04350502
-0.03760365,0.08139447
-0.03755365,0.14551507
-0.03750365,0.14114321
-0.03745365,0.07993719
-0.03740365,0.11199749
-0.03735365,0.00561558
-0.03730365,0.06682161
-0.03725365,0.11782663
-0.03720365,0.05807789
-0.03715365,-0.0075
-0.03710365,0.09451005
-0.03705365,0.11345477
-0.03700365,0.03476131
-0.03695365,0.10762563
-0.03690365,0.14114321
-0.03685365,0.08430904
-0.03680365,0.07556533
-0.03675365,0.04350502
-0.03670365,0.07556533
-0.03665365,0.09013819
-0.03660365,0.13531407
-0.03655365,0.14551507
-0.03650365,0.11782663
-0.03645365,0.15863065
-0.03640365,0.08139447
-0.03635365,0.05224874
-0.03630365,0.13677136
-0.03625365,0.04787688
-0.03620365,0.02893216
-0.03615365,0.11782663
-0.03610365,0.12657035
-0.03605365,0.04350502
-0.03600365,0.08576633
-0.03595365,0.09451005
-0.03590365,0.10325377
-0.03585365,0.02018844
-0.03580365,0.10908291
-0.03575365,0.06244975
-0.03570365,0.13531407
-0.03565365,0.06682161
-0.03560365,-0.00312814
-0.03555365,0.12657035
-0.03550365,0.0245603
-0.03545365,0.04787688
-0.03540365,0.05807789
-0.03535365,0.07119347
-0.03530365,0.02893216
-0.03525365,0.15863065
-0.03520365,0.0566206
-0.03515365,0.12657035
-0.03510365,0.06682161
-0.03505365,0.11782663
-0.03500365,0.0886809
-0.03495365,0.02018844
-0.03490365,0.02018844
-0.03485365,0.06536432
-0.03480365,0.07993719
-0.03475365,0.03476131
-0.03470365,0.10325377
-0.03465365,0.00998744
-0.03460365,0.03330402
-0.03455365,0.08576633
-0.03450365,0.06682161
-0.03445365,0.03476131
-0.03440365,0.00124372
-0.03435365,0.08430904
-0.03430365,0.00270101
-0.03425365,0.11345477
-0.03420365,-0.00312814
-0.03415365,0.11199749
-0.03410365,0.05807789
-0.03405365,0.07556533
-0.03400365,0.12657035
-0.03395365,0.07119347
-0.03390365,0.05224874
-0.03385365,0.09013819
-0.03380365,-0.00312814
-0.03375365,0.0566206
-0.03370365,0.03330402
-0.03365365,0.0566206
-0.03360365,0.09451005
-0.03355365,0.02893216
-0.03350365,0.08430904
-0.03345365,0.03330402
-0.03340365,0.06244975
-0.03335365,0.03476131
-0.03330365,0.05224874
-0.03325365,0.02018844
-0.03320365,0.08576633
-0.03315365,0.03330402
-0.03310365,0.06536432
-0.03305365,0.08576633
-0.03300365,0.06244975
-0.03295365,0.07119347
-0.03290365,0.00561558
-0.03285365,0.03913317
-0.03280365,0.12219849
-0.03275365,0.09888191
-0.03270365,0.04787688
-0.03265365,0.08576633
-0.03260365,0.08576633
-0.03255365,0.0566206
-0.03250365,0.02018844
