second,Volt,Volt.1
-0.00413865,-5.185929753,-0.48241207
-0.00413365,-5.065326735,-0.48241207
-0.00412865,-5.065326735,-0.301507544
-0.00412365,-5.291457393,-0.354271364
-0.00411865,-5.125628244,-0.173366838
-0.00411365,-5.072864424,-0.354271364
-0.00410865,-5.125628244,-0.180904526
-0.00410365,-5.178392064,-0.233668346
-0.00409865,-5.065326735,-0.120603018
-0.00409365,-5.185929753,-0.233668346
-0.00408865,-5.065326735,-0.241206035
-0.00408365,-5.185929753,0.0
-0.00407865,-5.125628244,-0.120603018
-0.00407365,-5.185929753,-0.113065329
-0.00406865,-5.246231262,0.0
-0.00406365,-5.178392064,0.113065329
-0.00405865,-5.185929753,0.05276382
-0.00405365,-5.185929753,0.0
-0.00404865,-5.065326735,0.060301509
-0.00404365,-5.178392064,0.0
-0.00403865,-5.185929753,0.05276382
-0.00403365,-5.298995082,0.113065329
-0.00402865,-5.118090556,0.241206035
-0.00402365,-5.298995082,0.120603018
-0.00401865,-5.125628244,0.241206035
-0.00401365,-5.178392064,0.361809053
-0.00400865,-5.246231262,0.241206035
-0.00400365,-5.185929753,0.354271364
-0.00399865,-5.246231262,0.293969855
-0.00399365,-5.178392064,0.361809053
-0.00398865,-5.246231262,0.422110561
-0.00398365,-5.298995082,0.361809053
-0.00397865,-5.118090556,0.422110561
-0.00397365,-5.298995082,0.474874381
-0.00396865,-5.246231262,0.48241207
-0.00396365,-5.065326735,0.369346741
-0.00395865,-5.185929753,0.53517589
-0.00395365,-5.185929753,0.595477399
-0.00394865,-5.185929753,0.53517589
-0.00394365,-5.185929753,0.603015088
-0.00393865,-5.118090556,0.610552776
-0.00393365,-5.065326735,0.723618105
-0.00392865,-5.185929753,0.723618105
-0.00392365,-5.185929753,0.723618105
-0.00391865,-5.065326735,0.783919614
-0.00391365,-5.185929753,0.716080416
-0.00390865,-5.065326735,0.783919614
-0.00390365,-5.185929753,0.731155794
-0.00389865,-5.125628244,0.896984943
-0.00389365,-5.178392064,0.957286451
-0.00388865,-5.118090556,0.783919614
-0.00388365,-5.065326735,0.844221123
-0.00387865,-5.185929753,1.085427158
-0.00387365,-5.178392064,0.96482414
-0.00386865,-5.125628244,1.025125649
-0.00386365,-5.065326735,1.077889469
-0.00385865,-5.185929753,1.025125649
-0.00385365,-5.185929753,1.085427158
-0.00384865,-5.185929753,1.138190978
-0.00384365,-5.185929753,1.206030175
-0.00383865,-5.125628244,1.258793995
-0.00383365,-5.065326735,1.085427158
-0.00382865,-5.118090556,1.266331684
-0.00382365,-5.065326735,1.206030175
-0.00381865,-5.065326735,1.326633193
-0.00381365,-5.185929753,1.326633193
-0.00380865,-5.118090556,1.326633193
-0.00380365,-5.185929753,1.334170881
-0.00379865,-5.185929753,1.386934701
-0.00379365,-5.185929753,1.44723621
-0.00378865,-5.125628244,1.492462342
-0.00378365,-5.185929753,1.560301539
-0.00377865,-5.185929753,1.507537719
-0.00377365,-5.185929753,1.44723621
-0.00376865,-5.185929753,1.567839228
-0.00376365,-5.185929753,1.44723621
-0.00375865,-5.125628244,1.567839228
-0.00375365,-5.072864424,1.454773899
-0.00374865,-5.125628244,1.688442245
