second,Volt,Volt.1
-0.0094937,4.798995,1.6080402
-0.0094837,4.4221106,0.8040201
-0.0094737,4.798995,3.1155779
-0.0094637,4.1959799,1.5075377
-0.0094537,4.798995,1.6080402
-0.0094437,4.8241206,1.6080402
-0.0094337,4.4221106,1.6080402
-0.0094237,4.59799,0.7035176
-0.0094137,4.4221106,0.0
-0.0094037,4.6231156,1.6080402
-0.0093937,4.4221106,1.6080402
-0.0093837,4.2211056,1.6080402
-0.0093737,4.4221106,1.5075377
-0.0093637,4.59799,1.6080402
-0.0093537,4.4221106,1.6080402
-0.0093437,4.4221106,1.6080402
-0.0093337,4.4221106,1.6080402
-0.0093237,4.6231156,1.6080402
-0.0093137,4.4221106,1.5075377
-0.0093037,4.6231156,0.7035176
-0.0092937,4.8241206,0.0
-0.0092837,4.59799,0.0
-0.0092737,4.798995,0.0
-0.0092637,4.4221106,1.6080402
-0.0092537,4.0201005,1.5075377
-0.0092437,4.4221106,0.0
-0.0092337,4.4221106,1.5075377
-0.0092237,4.8241206,1.5075377
-0.0092137,4.4221106,1.6080402
-0.0092037,4.4221106,1.6080402
-0.0091937,4.4221106,1.6080402
-0.0091837,4.6231156,0.0
-0.0091737,4.798995,0.0
-0.0091637,4.59799,0.8040201
-0.0091537,4.4221106,3.1155779
-0.0091437,4.4221106,2.3115578
-0.0091337,4.798995,1.5075377
-0.0091237,4.59799,0.7035176
-0.0091137,4.798995,0.0
-0.0091037,4.59799,1.6080402
-0.0090937,4.8241206,1.6080402
-0.0090837,4.4221106,0.7035176
-0.0090737,4.798995,1.6080402
-0.0090637,4.8241206,0.7035176
-0.0090537,4.4221106,1.6080402
-0.0090437,4.4221106,0.8040201
-0.0090337,4.4221106,3.1155779
-0.0090237,4.8241206,1.6080402
-0.0090137,4.798995,0.0
-0.0090037,4.6231156,1.6080402
-0.0089937,4.798995,0.0
-0.0089837,4.4221106,1.6080402
-0.0089737,4.4221106,0.0
-0.0089637,4.4221106,0.8040201
-0.0089537,4.798995,1.6080402
-0.0089437,4.4221106,0.8040201
-0.0089337,4.4221106,1.5075377
-0.0089237,4.4221106,0.7035176
-0.0089137,4.4221106,1.6080402
-0.0089037,4.8241206,0.8040201
-0.0088937,4.4221106,1.5075377
-0.0088837,4.6231156,1.6080402
-0.0088737,4.4221106,0.0
-0.0088637,4.59799,0.8040201
-0.0088537,4.8241206,1.5075377
-0.0088437,4.1959799,0.8040201
-0.0088337,4.8241206,0.0
-0.0088237,4.6231156,1.6080402
-0.0088137,4.4221106,0.0
-0.0088037,4.8241206,0.7035176
-0.0087937,4.798995,1.6080402
-0.0087837,4.8241206,1.6080402
-0.0087737,4.4221106,0.0
-0.0087637,4.4221106,0.8040201
-0.0087537,4.4221106,1.6080402
-0.0087437,4.6231156,0.8040201
-0.0087337,4.4221106,1.6080402
-0.0087237,4.6231156,1.6080402
-0.0087137,4.0201005,1.6080402
-0.0087037,4.4221106,0.0
-0.0086937,4.8241206,0.0
-0.0086837,4.4221106,1.6080402
-0.0086737,4.798995,1.6080402
-0.0086637,4.59799,1.6080402
-0.0086537,4.4221106,0.0
-0.0086437,4.59799,0.7035176
-0.0086337,4.396985,1.5075377
-0.0086237,4.6231156,1.6080402
-0.0086137,4.4221106,1.6080402
-0.0086037,4.4221106,1.6080402
-0.0085937,4.798995,1.6080402
-0.0085837,4.4221106,1.6080402
-0.0085737,4.4221106,0.0
