second,Volt
-0.02450365,-0.70262562
-0.02447865,-0.6399623
-0.02445365,-0.47383165
-0.02442865,-0.47674623
-0.02440365,-0.3295603
-0.02437865,-0.29604271
-0.02435365,-0.21880653
-0.02432865,-0.1255402
-0.02430365,-0.06870603
-0.02427865,0.01144472
-0.02425365,0.07556533
-0.02422865,0.14551507
-0.02420365,0.18631909
-0.02417865,0.22275125
-0.02415365,0.20526382
-0.02412865,0.24606784
-0.02410365,0.35099246
-0.02407865,0.32038944
-0.02405365,0.27521356
-0.02402865,0.30435929
-0.02400365,0.3786809
-0.02397865,0.25772613
-0.02395365,0.31601758
-0.02392865,0.25918341
-0.02390365,0.21546482
-0.02387865,0.18777638
-0.02385365,0.14697236
-0.02382865,0.07702261
-0.02380365,0.02747487
-0.02377865,-0.01624372
-0.02375365,-0.17071608
-0.02372865,-0.18820352
-0.02370365,-0.19403266
-0.02367865,-0.36599246
-0.02365365,-0.32518844
-0.02362865,-0.37619346
-0.02360365,-0.49714824
-0.02357865,-0.55252512
-0.02355365,-0.54669597
-0.02352865,-0.67347989
-0.02350365,-0.65453517
-0.02347865,-0.67930904
-0.02345365,-0.74925879
-0.02342865,-0.72448492
-0.02340365,-0.6836809
-0.02337865,-0.73177135
-0.02335365,-0.76528894
-0.02332865,-0.69242462
-0.02330365,-0.70116833
-0.02327865,-0.69096733
-0.02325365,-0.65744974
-0.02322865,-0.62247487
-0.02320365,-0.53940954
-0.02317865,-0.48694723
-0.02315365,-0.49423366
-0.02312865,-0.36016331
-0.02310365,-0.40096733
-0.02307865,-0.24940954
-0.02305365,-0.31061557
-0.02302865,-0.26106784
-0.02300365,-0.20277638
-0.02297865,-0.04393216
-0.02295365,-0.08182161
-0.02292865,-0.02790201
-0.02290365,0.01144472
-0.02287865,0.11199749
-0.02285365,0.03913317
-0.02282865,0.1644598
-0.02280365,0.17611809
-0.02277865,0.19943467
-0.02275365,0.14114321
-0.02272865,0.22129397
-0.02270365,0.19069095
-0.02267865,0.19797738
-0.02265365,0.16883166
-0.02262865,0.16883166
-0.02260365,0.11199749
-0.02257865,0.1323995
-0.02255365,0.10616834
-0.02252865,0.03038945
-0.02250365,0.00998744
-0.02247865,-0.02061558
-0.02245365,-0.02207286
-0.02242865,-0.09056533
-0.02240365,-0.22609296
-0.02237865,-0.18820352
-0.02235365,-0.20714824
-0.02232865,-0.29021356
-0.02230365,-0.307701
-0.02227865,-0.40825376
-0.02225365,-0.3834799
-0.02222865,-0.46363065
-0.02220365,-0.45488693
-0.02217865,-0.49860552
-0.02215365,-0.52337939
-0.02212865,-0.55398241
-0.02210365,-0.63121859
-0.02207865,-0.48694723
-0.02205365,-0.62684673
-0.02202865,-0.54523869
-0.02200365,-0.57875628
-0.02197865,-0.47383165
-0.02195365,-0.51026381
-0.02192865,-0.49277638
-0.02190365,-0.45342964
-0.02187865,-0.4578015
-0.02185365,-0.36599246
-0.02182865,-0.40825376
-0.02180365,-0.32518844
-0.02177865,-0.30478643
-0.02175365,-0.34704773
-0.02172865,-0.30041457
-0.02170365,-0.20860553
-0.02167865,-0.17508794
-0.02165365,-0.14448492
-0.02162865,-0.02207286
-0.02160365,-0.09639447
-0.02157865,0.01873116
-0.02155365,0.04204774
-0.02152865,0.00124372
-0.02150365,0.03476131
-0.02147865,0.07702261
-0.02145365,0.08576633
-0.02142865,0.06390703
-0.02140365,0.04933417
-0.02137865,0.04350502
-0.02135365,0.07702261
-0.02132865,0.08722362
-0.02130365,-0.0075
-0.02127865,0.00707286
-0.02125365,0.09451005
-0.02122865,0.05224874
-0.02120365,0.02893216
-0.02117865,-0.00021357
-0.02115365,-0.03081658
-0.02112865,-0.07890703
-0.02110365,-0.13282663
-0.02107865,-0.16197236
-0.02105365,-0.17217336
-0.02102865,-0.22609296
-0.02100365,-0.18383166
-0.02097865,-0.23483668
-0.02095365,-0.26398241
-0.02092865,-0.37473618
-0.02090365,-0.37473618
-0.02087865,-0.39222361
-0.02085365,-0.36016331
-0.02082865,-0.3718216
-0.02080365,-0.46363065
-0.02077865,-0.37036432
-0.02075365,-0.40679648
-0.02072865,-0.41699748
-0.02070365,-0.45342964
-0.02067865,-0.38493718
-0.02065365,-0.40825376
-0.02062865,-0.45051507
-0.02060365,-0.39076633
-0.02057865,-0.3834799
-0.02055365,-0.32373115
-0.02052865,-0.33830402
-0.02050365,-0.33393216
-0.02047865,-0.34121859
-0.02045365,-0.24212311
-0.02042865,-0.23775125
-0.02040365,-0.21443467
-0.02037865,-0.19403266
-0.02035365,-0.09493718
-0.02032865,-0.17800251
-0.02030365,-0.12116834
-0.02027865,-0.12845477
-0.02025365,-0.02061558
-0.02022865,-0.05850502
-0.02020365,-0.05559045
-0.02017865,-0.02207286
-0.02015365,-0.04538945
-0.02012865,0.03330402
-0.02010365,0.02747487
-0.02007865,-0.01478643
-0.02005365,0.00270101
-0.02002865,0.00270101
-0.02000365,-0.03373116
-0.01997865,-0.01624372
-0.01995365,-0.02061558
-0.01992865,0.01144472
-0.01990365,-0.05850502
-0.01987865,-0.05559045
-0.01985365,-0.07307789
-0.01982865,-0.04538945
-0.01980365,-0.13719849
-0.01977865,-0.14448492
-0.01975365,-0.15031407
-0.01972865,-0.19403266
-0.01970365,-0.27709799
-0.01967865,-0.25523869
-0.01965365,-0.22755025
-0.01962865,-0.21734924
-0.01960365,-0.25815326
-0.01957865,-0.33830402
-0.01955365,-0.31790201
-0.01952865,-0.29167085
-0.01950365,-0.37036432
-0.01947865,-0.28729899
-0.01945365,-0.33684673
-0.01942865,-0.36016331
-0.01940365,-0.42719849
-0.01937865,-0.32810301
-0.01935365,-0.38056532
-0.01932865,-0.29167085
-0.01930365,-0.33538944
-0.01927865,-0.34121859
-0.01925365,-0.26689698
-0.01922865,-0.28292713
-0.01920365,-0.35141959
-0.01917865,-0.29458542
-0.01915365,-0.2537814
-0.01912865,-0.31061557
-0.01910365,-0.15614321
-0.01907865,-0.22900754
-0.01905365,-0.1896608
-0.01902865,-0.12845477
-0.01900365,-0.20277638
-0.01897865,-0.19403266
-0.01895365,-0.09493718
-0.01892865,-0.09202261
-0.01890365,-0.10222362
-0.01887865,-0.09785176
-0.01885365,0.00124372
-0.01882865,-0.09056533
-0.01880365,-0.07307789
-0.01877865,0.02310301
-0.01875365,-0.01624372
-0.01872865,-0.05121859
-0.01870365,-0.01187186
-0.01867865,-0.01041457
-0.01865365,0.00561558
-0.01862865,-0.06579146
-0.01860365,-0.0395603
-0.01857865,-0.0716206
-0.01855365,-0.02061558
-0.01852865,-0.09785176
-0.01850365,-0.16051507
-0.01847865,-0.12845477
-0.01845365,-0.13136935
-0.01842865,-0.13428392
-0.01840365,-0.10076633
-0.01837865,-0.12408291
-0.01835365,-0.19111809
-0.01832865,-0.21734924
-0.01830365,-0.2115201
-0.01827865,-0.15177136
-0.01825365,-0.25961055
-0.01822865,-0.27709799
-0.01820365,-0.33393216
-0.01817865,-0.34267588
-0.01815365,-0.27126884
-0.01812865,-0.33393216
-0.01810365,-0.307701
-0.01807865,-0.34704773
-0.01805365,-0.33684673
-0.01802865,-0.29458542
-0.01800365,-0.28875628
-0.01797865,-0.24940954
-0.01795365,-0.30624372
-0.01792865,-0.2217211
-0.01790365,-0.2756407
-0.01787865,-0.25523869
-0.01785365,-0.17071608
-0.01782865,-0.21734924
-0.01780365,-0.16634422
-0.01777865,-0.21443467
-0.01775365,-0.21734924
-0.01772865,-0.13719849
-0.01770365,-0.20131909
-0.01767865,-0.16051507
-0.01765365,-0.07744975
-0.01762865,-0.10222362
-0.01760365,-0.08182161
-0.01757865,-0.10805276
-0.01755365,-0.15031407
-0.01752865,-0.11388191
-0.01750365,-0.08182161
-0.01747865,-0.09202261
-0.01745365,-0.04247487
-0.01742865,-0.06433417
-0.01740365,-0.05704774
-0.01737865,-0.07453517
-0.01735365,-0.09639447
-0.01732865,-0.0395603
-0.01730365,-0.11388191
-0.01727865,0.00124372
-0.01725365,-0.06870603
-0.01722865,-0.06433417
-0.01720365,-0.06724874
-0.01717865,-0.14448492
-0.01715365,-0.07307789
-0.01712865,-0.14302764
-0.01710365,-0.15614321
-0.01707865,-0.10076633
-0.01705365,-0.19111809
-0.01702865,-0.1576005
-0.01700365,-0.15468593
-0.01697865,-0.1473995
-0.01695365,-0.25961055
-0.01692865,-0.18528894
-0.01690365,-0.26398241
-0.01687865,-0.22463568
-0.01685365,-0.1794598
-0.01682865,-0.21297738
-0.01680365,-0.19840452
-0.01677865,-0.20860553
-0.01675365,-0.2537814
-0.01672865,-0.19840452
-0.01670365,-0.20423367
-0.01667865,-0.24795226
-0.01665365,-0.21734924
-0.01662865,-0.28146985
-0.01660365,-0.15614321
-0.01657865,-0.26398241
-0.01655365,-0.2435804
-0.01652865,-0.11388191
-0.01650365,-0.24066583
-0.01647865,-0.21443467
-0.01645365,-0.20569095
-0.01642865,-0.08619347
-0.01640365,-0.08182161
-0.01637865,-0.13136935
-0.01635365,-0.12845477
-0.01632865,-0.10076633
-0.01630365,-0.19403266
-0.01627865,-0.18383166
-0.01625365,-0.08182161
-0.01622865,-0.14157035
-0.01620365,-0.07307789
-0.01617865,-0.09202261
-0.01615365,-0.05850502
-0.01612865,-0.05559045
-0.01610365,-0.05850502
-0.01607865,-0.05413317
-0.01605365,-0.06287688
-0.01602865,-0.08619347
-0.01600365,-0.10805276
-0.01597865,-0.06870603
-0.01595365,-0.09202261
-0.01592865,-0.1036809
-0.01590365,-0.11242462
-0.01587865,-0.14302764
-0.01585365,-0.10951005
-0.01582865,-0.15614321
-0.01580365,-0.09202261
-0.01577865,-0.14448492
-0.01575365,-0.07744975
-0.01572865,-0.13865578
-0.01570365,-0.16780151
-0.01567865,-0.14302764
-0.01565365,-0.23046482
-0.01562865,-0.15614321
-0.01560365,-0.10951005
-0.01557865,-0.21443467
-0.01555365,-0.21734924
-0.01552865,-0.1794598
-0.01550365,-0.22026382
-0.01547865,-0.19111809
-0.01545365,-0.17508794
-0.01542865,-0.21734924
-0.01540365,-0.13282663
-0.01537865,-0.15177136
-0.01535365,-0.20131909
-0.01532865,-0.18528894
-0.01530365,-0.25815326
-0.01527865,-0.18091708
-0.01525365,-0.19548995
-0.01522865,-0.16051507
-0.01520365,-0.21443467
-0.01517865,-0.15031407
-0.01515365,-0.20714824
-0.01512865,-0.15468593
-0.01510365,-0.13865578
-0.01507865,-0.14157035
-0.01505365,-0.20277638
-0.01502865,-0.10951005
-0.01500365,-0.12116834
-0.01497865,-0.16051507
-0.01495365,-0.10076633
-0.01492865,-0.07744975
-0.01490365,-0.05413317
-0.01487865,-0.08619347
-0.01485365,-0.11971105
-0.01482865,-0.11533919
-0.01480365,-0.09202261
-0.01477865,-0.10513819
-0.01475365,-0.05559045
-0.01472865,-0.07744975
-0.01470365,-0.13719849
-0.01467865,-0.10951005
-0.01465365,-0.08473618
-0.01462865,-0.07744975
-0.01460365,-0.17071608
-0.01457865,-0.1357412
-0.01455365,-0.03081658
-0.01452865,-0.18383166
-0.01450365,-0.08182161
-0.01447865,-0.1036809
-0.01445365,-0.10513819
-0.01442865,-0.17071608
-0.01440365,-0.1255402
-0.01437865,-0.11533919
-0.01435365,-0.1255402
-0.01432865,-0.15614321
-0.01430365,-0.20277638
-0.01427865,-0.18820352
-0.01425365,-0.15177136
-0.01422865,-0.12408291
-0.01420365,-0.12408291
-0.01417865,-0.22609296
-0.01415365,-0.18528894
-0.01412865,-0.18528894
-0.01410365,-0.18528894
-0.01407865,-0.15031407
-0.01405365,-0.20277638
-0.01402865,-0.12699749
-0.01400365,-0.24066583
-0.01397865,-0.12699749
-0.01395365,-0.20131909
-0.01392865,-0.17800251
-0.01390365,-0.13719849
-0.01387865,-0.09056533
-0.01385365,-0.2115201
-0.01382865,-0.20131909
-0.01380365,-0.14157035
-0.01377865,-0.18383166
-0.01375365,-0.14157035
-0.01372865,-0.07744975
-0.01370365,-0.07744975
-0.01367865,-0.10222362
-0.01365365,-0.10513819
-0.01362865,-0.11242462
-0.01360365,-0.1036809
-0.01357865,-0.05850502
-0.01355365,-0.12408291
-0.01352865,-0.0395603
-0.01350365,-0.11242462
-0.01347865,-0.10076633
-0.01345365,-0.11388191
-0.01342865,-0.0716206
-0.01340365,-0.08473618
-0.01337865,-0.05704774
-0.01335365,-0.10222362
-0.01332865,-0.14157035
-0.01330365,-0.12699749
-0.01327865,-0.1473995
-0.01325365,-0.11388191
-0.01322865,-0.05413317
-0.01320365,-0.14302764
-0.01317865,-0.05413317
-0.01315365,-0.09785176
-0.01312865,-0.1255402
-0.01310365,-0.14302764
-0.01307865,-0.1036809
-0.01305365,-0.1255402
-0.01302865,-0.14885678
-0.01300365,-0.18383166
-0.01297865,-0.13136935
-0.01295365,-0.15177136
-0.01292865,-0.17363065
-0.01290365,-0.20277638
-0.01287865,-0.15468593
-0.01285365,-0.14157035
-0.01282865,-0.14157035
-0.01280365,-0.16780151
-0.01277865,-0.22026382
-0.01275365,-0.14448492
-0.01272865,-0.09056533
-0.01270365,-0.15468593
-0.01267865,-0.24066583
-0.01265365,-0.13719849
-0.01262865,-0.14448492
-0.01260365,-0.10076633
-0.01257865,-0.20714824
-0.01255365,-0.1255402
-0.01252865,-0.08619347
-0.01250365,-0.06287688
-0.01247865,-0.06287688
-0.01245365,-0.1357412
-0.01242865,-0.10805276
-0.01240365,-0.17071608
-0.01237865,-0.12699749
-0.01235365,-0.14448492
-0.01232865,-0.06287688
-0.01230365,-0.08765075
-0.01227865,-0.08619347
-0.01225365,-0.05850502
-0.01222865,-0.00458543
-0.01220365,-0.07890703
-0.01217865,-0.10805276
-0.01215365,-0.08765075
-0.01212865,-0.08182161
-0.01210365,-0.0395603
-0.01207865,-0.11242462
-0.01205365,-0.05413317
-0.01202865,-0.0395603
-0.01200365,-0.16051507
-0.01197865,-0.07744975
-0.01195365,-0.04393216
-0.01192865,-0.09493718
-0.01190365,-0.15177136
-0.01187865,-0.1357412
-0.01185365,-0.15031407
-0.01182865,-0.04393216
-0.01180365,-0.06287688
-0.01177865,-0.07744975
-0.01175365,-0.07307789
-0.01172865,-0.06287688
-0.01170365,-0.13136935
-0.01167865,-0.10805276
-0.01165365,-0.12408291
-0.01162865,-0.09493718
-0.01160365,-0.06287688
-0.01157865,-0.05704774
-0.01155365,-0.15468593
-0.01152865,-0.12116834
-0.01150365,-0.13136935
-0.01147865,-0.18383166
-0.01145365,-0.15177136
-0.01142865,-0.09056533
-0.01140365,-0.09639447
-0.01137865,-0.08182161
-0.01135365,-0.1357412
-0.01132865,-0.09639447
-0.01130365,-0.10805276
-0.01127865,-0.11096734
-0.01125365,-0.0716206
-0.01122865,-0.09056533
-0.01120365,-0.15177136
-0.01117865,-0.08619347
-0.01115365,-0.05413317
-0.01112865,-0.10805276
-0.01110365,-0.18383166
-0.01107865,-0.1036809
-0.01105365,-0.15614321
-0.01102865,-0.16488693
-0.01100365,-0.14302764
-0.01097865,-0.12699749
