second,Volt,Volt.1
-0.0094937,3.6180905,3.1909548
-0.0094837,4.0201005,4.4221106
-0.0094737,3.6180905,5.6281407
-0.0094637,3.7939699,7.437186
-0.0094537,3.6180905,8.4422111
-0.0094437,3.6180905,8.4422111
-0.0094337,3.5929649,7.6130654
-0.0094237,3.6180905,5.8040201
-0.0094137,3.2160804,4.4221106
-0.0094037,3.6180905,3.6180905
-0.0093937,3.2160804,3.2160804
-0.0093837,3.4170855,3.4170855
-0.0093737,3.6180905,4.4221106
-0.0093637,3.4170855,5.8291458
-0.0093537,3.6180905,6.8341709
-0.0093437,3.2160804,7.4120604
-0.0093337,3.2160804,7.638191
-0.0093237,3.2160804,6.6080403
-0.0093137,3.2160804,5.6281407
-0.0093037,3.2160804,4.8241206
-0.0092937,3.2160804,4.396985
-0.0092837,3.0150754,4.0201005
-0.0092737,3.2160804,4.0201005
-0.0092637,3.2160804,4.4221106
-0.0092537,3.2160804,5.6281407
-0.0092437,3.0150754,6.4321609
-0.0092337,3.2160804,6.8341709
-0.0092237,3.2160804,6.4321609
-0.0092137,3.2160804,6.4321609
-0.0092037,3.0150754,6.0301508
-0.0091937,2.8140704,5.2261307
-0.0091837,3.2160804,4.6231156
-0.0091737,2.8140704,4.4221106
-0.0091637,2.8140704,4.4221106
-0.0091537,2.8140704,4.8241206
-0.0091437,2.8140704,5.6281407
-0.0091337,3.2160804,5.6281407
-0.0091237,2.8140704,6.4321609
-0.0091137,2.7889447,6.4321609
-0.0091037,2.6130653,6.4321609
-0.0090937,2.4120603,5.6281407
-0.0090837,2.4120603,5.4271357
-0.0090737,3.1909548,5.2261307
-0.0090637,2.6130653,4.8241206
-0.0090537,2.7889447,4.8241206
-0.0090437,2.8140704,5.2261307
-0.0090337,2.4120603,5.2261307
-0.0090237,2.4120603,5.6281407
-0.0090137,2.7889447,6.0050252
-0.0090037,2.4120603,6.0301508
-0.0089937,2.4120603,5.6281407
-0.0089837,2.5879397,5.6281407
-0.0089737,2.4120603,5.6030151
-0.0089637,2.6130653,5.2261307
-0.0089537,2.4120603,5.2010051
-0.0089437,2.4120603,4.8241206
-0.0089337,2.4120603,4.8241206
-0.0089237,2.1859297,5.2261307
-0.0089137,2.4120603,5.6281407
-0.0089037,2.1859297,5.8040201
-0.0088937,2.4120603,5.6030151
-0.0088837,2.2110553,5.8291458
-0.0088737,2.3869347,5.6281407
-0.0088637,2.4120603,5.0
-0.0088537,2.4120603,5.6030151
-0.0088437,2.1859297,5.2261307
-0.0088337,2.0100503,4.8241206
-0.0088237,1.8090452,5.2261307
-0.0088137,2.0100503,5.2261307
-0.0088037,2.1859297,5.2261307
-0.0087937,2.0100503,5.2261307
-0.0087837,1.7839196,5.6281407
-0.0087737,2.0100503,5.6281407
-0.0087637,2.1859297,5.6030151
-0.0087537,2.0100503,5.2261307
-0.0087437,2.0100503,5.4020101
-0.0087337,1.6080402,5.2261307
-0.0087237,2.2110553,5.4020101
-0.0087137,1.9849246,5.2261307
-0.0087037,1.8090452,5.2261307
-0.0086937,1.5829146,5.2010051
-0.0086837,2.0100503,5.2261307
-0.0086737,2.0100503,5.6030151
-0.0086637,1.8090452,5.6281407
-0.0086537,2.0100503,5.6281407
-0.0086437,2.0100503,5.2261307
-0.0086337,1.6080402,5.2261307
-0.0086237,1.5829146,5.0251257
-0.0086137,1.2060302,4.8241206
-0.0086037,1.8090452,5.2261307
-0.0085937,1.6080402,5.6030151
-0.0085837,1.8090452,5.4020101
-0.0085737,1.6080402,5.2261307
-0.0085637,1.3819096,5.2261307
-0.0085537,1.6080402,5.6281407
-0.0085437,1.3819096,5.6281407
-0.0085337,1.2060302,5.6030151
-0.0085237,1.3819096,5.2261307
-0.0085137,1.6080402,5.6281407
-0.0085037,1.2060302,5.4271357
-0.0084937,1.2060302,5.2261307
-0.0084837,1.2060302,5.2261307
-0.0084737,1.2060302,5.2261307
-0.0084637,1.2060302,5.4020101
-0.0084537,1.1809045,5.2010051
-0.0084437,1.2060302,5.2261307
-0.0084337,0.8040201,5.2261307
-0.0084237,1.2060302,5.4020101
-0.0084137,0.8040201,5.2261307
-0.0084037,1.2060302,5.2261307
-0.0083937,1.2060302,5.2261307
-0.0083837,0.9798995,5.4271357
-0.0083737,1.2060302,5.2261307
-0.0083637,0.9798995,5.2261307
-0.0083537,1.1809045,5.2261307
-0.0083437,1.2060302,5.2261307
-0.0083337,0.8040201,5.2261307
-0.0083237,1.2060302,5.4271357
-0.0083137,0.4020101,5.6030151
-0.0083037,0.8040201,5.0
-0.0082937,0.7788945,5.6030151
-0.0082837,1.0050251,5.0251257
