theta,counts
0.0,1615004.0
0.005,145324648.6484449
0.01,66620599.21213097
0.015,38894209.042719215
0.02,19362490.28523755
0.025,10062477.631198967
0.03,7376472.895808051
0.035,5587864.554807353
0.04,4537963.615931681
0.045,4028367.359030235
0.05,3679782.9451501197
0.055,3280177.630438219
0.06,3021038.938261548
0.065,2816259.1730245943
0.07,2762868.6563329524
0.075,2742240.9618950766
0.08,2650509.351070463
0.085,2637553.533450525
0.09,2544936.969705357
0.095,2454721.190853371
0.1,2407478.2041586433
0.105,2394978.0203766366
0.11,2378797.217732618
0.115,2377188.5413822825
0.12,2368402.991760537
0.125,2350415.9169519967
0.13,2344242.0821533017
0.135,2327905.05960472
0.14,2314961.3347586207
0.145,2295566.944844422
0.15,2275720.679026475
0.155,2222100.1217844044
0.16,2106797.1987911332
0.165,2002152.042636019
0.17,1995006.9182636277
0.175,2025774.9936775523
0.18,1993185.938047136
0.185,1941501.52331453
0.19,1960925.7139024425
0.195,1995619.9665516557
0.2,1975143.083589198
0.205,1894284.1238771654
0.21,1783417.5270910207
0.215,1676686.3071948646
0.22,1522138.003191353
0.225,1270015.9106374015
0.23,929656.9110611954
0.235,606829.8356344429
0.24,370362.9116932787
0.245,236648.660784497
0.25,186656.4909453363
0.255,185948.11201070002
0.26,192814.18190649868
0.265,185984.9254944057
0.27,157777.0330263177
0.275,118908.99212156671
0.28,80108.0037269011
0.285,53190.00236157774
0.29,42173.03493493973
0.295,44854.83039483404
0.3,52987.37900654677
0.305,59972.62100455671
0.31,60430.70796604748
0.315,53511.25358912511
0.32,41370.632674894805
0.325,29431.50125809379
0.33,19970.988423761406
0.335,16156.475682843986
0.34,16872.020917697206
0.345,20233.337946875108
0.35,24034.255660995503
0.355,25595.076152584053
0.36,24381.424465159776
0.365,20914.199804118583
0.37,15956.211228190044
0.375,11340.672802439367
0.38,7944.268848163048
0.385,7389.871786349641
0.39,8088.4635795736485
0.395,9965.773209423412
0.4,11797.296832500024
0.405,12165.480744291746
0.41,11338.512294979375
0.415,9848.88545935287
0.42,7401.589651533316
0.425,5385.043774717685
0.43,3975.0319529057115
0.435,3659.589037541861
0.44,4226.386586157787
0.445,5046.19947563429
0.45,5907.892225466229
0.455,6251.979692467704
0.46,5955.0
0.465,5100.0
0.47,3940.0
0.475,2831.0
0.48,2257.0
0.485,2045.0
0.49,2331.0
0.495,2761.0
