Theta,Counts
0.0,424
0.005,416
0.01,440
0.015,425
0.02,521
0.025,469
0.03,484
0.035,504
0.04,590
0.045,637
0.05,637
0.055,737
0.06,867
0.065,942
0.07,1075
0.075,1289
0.08,1665
0.085,2317
0.09,2940
0.095,3529
0.1,4205
0.105,5479
0.11,7811
0.115,10522
0.12,13330
0.125,25433
0.13,58331
0.135,89012
0.14,112741
0.145,134990
0.15,151722
0.155,129593
0.16,76141
0.165,35618
0.17,18809
0.175,11042
0.18,8682
0.185,6853
0.19,5555
0.195,4429
0.2,3435
0.205,2742
0.21,2091
0.215,1662
0.22,1345
0.225,1151
0.23,939
0.235,831
0.24,697
0.245,593
0.25,569
0.255,510
0.26,471
0.265,441
0.27,429
0.275,469
0.28,459
0.285,406
0.29,397
0.295,438
0.3,441
